Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Creative Industries and Big Data: A Business Model for Service Innovation","Exploring Services Science","","","","10.1007/978-3-319-56925-3_12","Giovanna MorelliFrancesca Spagnoli","2017","http://link.springer.com/chapter/10.1007/978-3-319-56925-3_12","Chapter"
"Agent-Based Modelling for Urban Planning Current Limitations and Future Trends","Agent Based Modelling of Urban Systems","","","","10.1007/978-3-319-51957-9_4","Pascal PerezArnaud BanosChris Pettit","2017","http://link.springer.com/chapter/10.1007/978-3-319-51957-9_4","Chapter"
"Privacy-Aware in the IoT Applications: A Systematic Literature Review","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69462-7_35","Faiza LoukilChirine Ghedira-GueganAïcha Nabila BenharkatKhouloud BoukadiZakaria Maamar","2017","http://link.springer.com/chapter/10.1007/978-3-319-69462-7_35","Chapter"
"Towards a JSON-Based Fast Policy Evaluation Framework","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69459-7_2","Hao JiangAhmed Bouabdallah","2017","http://link.springer.com/chapter/10.1007/978-3-319-69459-7_2","Chapter"
"Semantic BMS: Ontology for Analysis of Building Operation Efficiency","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_29","Adam KučeraTomáš Pitner","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_29","Chapter"
"The Digital Business Architect – Towards Method Support for Digital Innovation and Transformation","The Practice of Enterprise Modeling","","","","10.1007/978-3-319-70241-4_24","Matthias WißotzkiKurt Sandkuhl","2017","http://link.springer.com/chapter/10.1007/978-3-319-70241-4_24","Chapter"
"Analysis of Partner Selection Problem in Horizontal Collaboration Among Shippers","Computational Logistics","","","","10.1007/978-3-319-68496-3_13","Hanan OuhaderMalika El kyal","2017","http://link.springer.com/chapter/10.1007/978-3-319-68496-3_13","Chapter"
"A Trust Application in Participatory Sensing: Elder Reintegration","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_43","Alexandra Mihaita (Mocanu)Ciprian DobreFlorin PopBogdan MocanuValentin CristeaChristian Esposito","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_43","Chapter"
"Comparing Electricity Consumer Categories Based on Load Pattern Clustering with Their Natural Types","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_51","Zigui JiangRongheng LinFangchun YangZhihan LiuQiqi Zhang","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_51","Chapter"
"An Inter-device Authentication Scheme for Smart Homes Using One-Time-Password Over Infrared Channel","Intelligent, Secure, and Dependable Systems in Distributed and Cloud Environments","","","","10.1007/978-3-319-69155-8_7","Maninder Singh RaniyalIsaac WoungangSanjay Kumar Dhurandher","2017","http://link.springer.com/chapter/10.1007/978-3-319-69155-8_7","Chapter"
"IoT-Based Healthcare Applications: A Review","Computational Science and Its Applications – ICCSA 2017","","","","10.1007/978-3-319-62407-5_4","Itamir de Morais Barroca FilhoGibeon Soares de Aquino Junior","2017","http://link.springer.com/chapter/10.1007/978-3-319-62407-5_4","Chapter"
"Achieving the Sensing, Smart and Sustainable “Everything”","Collaboration in a Data-Rich World","","","","10.1007/978-3-319-65151-4_51","Dante Chavarría-BarrientosLuis M. Camarinha-MatosArturo Molina","2017","http://link.springer.com/chapter/10.1007/978-3-319-65151-4_51","Chapter"
"Pricing of Data Products in Data Marketplaces","Software Business","","","","10.1007/978-3-319-69191-6_4","Samuel A. FrickerYuliyan V. Maksimov","2017","http://link.springer.com/chapter/10.1007/978-3-319-69191-6_4","Chapter"
"Research on Properties of Nodes Distribution on Internet of Vehicles","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_57","Cheng JiujunShang ZhengMi HaoCheng ChengHuang Zhenhua","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_57","Chapter"
"Capturing Stochastic and Real-Time Behavior in Reo Connectors","Formal Methods: Foundations and Applications","","","","10.1007/978-3-319-70848-5_18","Yi LiXiyue ZhangYuanyi JiMeng Sun","2017","http://link.springer.com/chapter/10.1007/978-3-319-70848-5_18","Chapter"
"A Proposal for Situation-Aware Evacuation Guidance Based on Semantic Technologies","Multi-Agent Systems and Agreement Technologies","","","","10.1007/978-3-319-59294-7_40","Holger BillhardtJürgen DunkelAlberto FernándezMarin LujakRamón HermosoSascha Ossowski","2017","http://link.springer.com/chapter/10.1007/978-3-319-59294-7_40","Chapter"
"LTE System Design for Urban Light Rail Transport","Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification","","","","10.1007/978-3-319-68499-4_2","Gianluca MandòGiovanni Giambene","2017","http://link.springer.com/chapter/10.1007/978-3-319-68499-4_2","Chapter"
"Approaches to Fuse Fixed and Mobile Air Quality Sensors","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_7","Gerhard DünnebeilMartina MarjanovićIvana Podnar Žarko","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_7","Chapter"
